IBOV - Carteira do Dia 16/07/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;166.362.038;0,073;0,213;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125.912.025;0,140;0,213;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;265.784.616;0,257;0,447;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;91.514.307;0,064;0,447;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;375.130.280;0,126;0,447;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525.582.771;0,052;0,052;
Diversos;COGN3;COGNA ON;ON      NM;1.814.903.540;0,165;2,436;
Diversos;RENT3;LOCALIZA;ON      NM;863.138.188;1,886;2,436;
Diversos;VAMO3;VAMOS;ON      NM;498.860.020;0,218;2,436;
Diversos;YDUQ3;YDUQS PART;ON      NM;289.347.914;0,167;2,436;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;532.616.595;0,561;1,098;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,225;1,098;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.505.432;0,312;1,098;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.560.910.983;2,675;2,675;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.489.259.656;0,806;17,150;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.135.772.281;3,048;17,150;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.247.534;3,604;17,150;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,742;17,150;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.740.126.023;7,493;17,150;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;342.918.449;0,457;17,150;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,076;1,198;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,122;1,198;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.602.790.110;3,022;3,318;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.095.462.329;0,296;3,318;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;302.768.240;0,100;2,572;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;777.422.123;0,778;2,572;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;664.114.223;1,694;2,572;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.992.819;0,230;13,644;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,290;13,644;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.427.123.466;13,124;13,644;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.877.867;0,244;0,244;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.246.339.197;1,091;2,013;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;660.411.219;0,343;2,013;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;600.865.451;0,381;2,013;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.391;0,198;2,013;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;238.441.689;0,314;18,115;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.168.966.848;0,787;18,115;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.150.495.108;4,196;18,115;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.445.852;8,274;18,115;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.166.463;0,273;18,115;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON  ATZ NM;804.019.521;1,760;18,115;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.210.920.604;0,176;18,115;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.228.062;1,146;18,115;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.613.709;1,189;18,115;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.490.388;0,557;2,116;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.280.079.284;1,559;2,116;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;240.822.651;0,177;2,623;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,858;2,623;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.144.776.793;1,588;2,623;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;428.737.358;0,094;0,810;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,716;0,810;
Telecomunicação;VIVT3;TELEF BRASIL;ON;408.343.528;0,941;1,578;
Telecomunicação;TIMS3;TIM;ON      NM;807.896.814;0,637;1,578;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,307;1,307;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.868.640.510;0,943;11,082;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.233.590;0,804;11,082;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,293;11,082;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.945.040.784;3,547;11,082;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.733.136;0,544;11,082;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326.265.871;0,731;11,082;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.630.820;0,985;11,082;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,557;11,082;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,835;11,082;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,361;11,082;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,482;11,082;
Quantidade Teórica Total;;;;95.381.185.532;100,000;100,000
Redutor;;;;16.431.231,56745229
